era,ball_type,number,count,draws,frequency
2of10_friday,main,1,43,389,0.11054
2of10_friday,main,2,34,389,0.087404
2of10_friday,main,3,41,389,0.105398
2of10_friday,main,4,38,389,0.097686
2of10_friday,main,5,38,389,0.097686
2of10_friday,main,6,32,389,0.082262
2of10_friday,main,7,40,389,0.102828
2of10_friday,main,8,38,389,0.097686
2of10_friday,main,9,36,389,0.092545
2of10_friday,main,10,28,389,0.071979
2of10_friday,main,11,36,389,0.092545
2of10_friday,main,12,39,389,0.100257
2of10_friday,main,13,36,389,0.092545
2of10_friday,main,14,41,389,0.105398
2of10_friday,main,15,44,389,0.113111
2of10_friday,main,16,43,389,0.11054
2of10_friday,main,17,38,389,0.097686
2of10_friday,main,18,38,389,0.097686
2of10_friday,main,19,47,389,0.120823
2of10_friday,main,20,50,389,0.128535
2of10_friday,main,21,40,389,0.102828
2of10_friday,main,22,35,389,0.089974
2of10_friday,main,23,42,389,0.107969
2of10_friday,main,24,41,389,0.105398
2of10_friday,main,25,38,389,0.097686
2of10_friday,main,26,34,389,0.087404
2of10_friday,main,27,36,389,0.092545
2of10_friday,main,28,31,389,0.079692
2of10_friday,main,29,38,389,0.097686
2of10_friday,main,30,40,389,0.102828
2of10_friday,main,31,40,389,0.102828
2of10_friday,main,32,36,389,0.092545
2of10_friday,main,33,39,389,0.100257
2of10_friday,main,34,44,389,0.113111
2of10_friday,main,35,46,389,0.118252
2of10_friday,main,36,35,389,0.089974
2of10_friday,main,37,31,389,0.079692
2of10_friday,main,38,44,389,0.113111
2of10_friday,main,39,41,389,0.105398
2of10_friday,main,40,39,389,0.100257
2of10_friday,main,41,39,389,0.100257
2of10_friday,main,42,40,389,0.102828
2of10_friday,main,43,41,389,0.105398
2of10_friday,main,44,42,389,0.107969
2of10_friday,main,45,35,389,0.089974
2of10_friday,main,46,48,389,0.123393
2of10_friday,main,47,36,389,0.092545
2of10_friday,main,48,28,389,0.071979
2of10_friday,main,49,49,389,0.125964
2of10_friday,main,50,37,389,0.095116
2of10_friday,euro,1,74,389,0.190231
2of10_friday,euro,2,67,389,0.172237
2of10_friday,euro,3,78,389,0.200514
2of10_friday,euro,4,81,389,0.208226
2of10_friday,euro,5,79,389,0.203085
2of10_friday,euro,6,77,389,0.197943
2of10_friday,euro,7,77,389,0.197943
2of10_friday,euro,8,85,389,0.218509
2of10_friday,euro,9,89,389,0.228792
2of10_friday,euro,10,71,389,0.182519
2of12_tue_fri,main,1,50,468,0.106838
2of12_tue_fri,main,2,50,468,0.106838
2of12_tue_fri,main,3,44,468,0.094017
2of12_tue_fri,main,4,47,468,0.100427
2of12_tue_fri,main,5,40,468,0.08547
2of12_tue_fri,main,6,49,468,0.104701
2of12_tue_fri,main,7,43,468,0.09188
2of12_tue_fri,main,8,51,468,0.108974
2of12_tue_fri,main,9,46,468,0.098291
2of12_tue_fri,main,10,44,468,0.094017
2of12_tue_fri,main,11,61,468,0.130342
2of12_tue_fri,main,12,44,468,0.094017
2of12_tue_fri,main,13,53,468,0.113248
2of12_tue_fri,main,14,48,468,0.102564
2of12_tue_fri,main,15,43,468,0.09188
2of12_tue_fri,main,16,54,468,0.115385
2of12_tue_fri,main,17,59,468,0.126068
2of12_tue_fri,main,18,50,468,0.106838
2of12_tue_fri,main,19,35,468,0.074786
2of12_tue_fri,main,20,55,468,0.117521
2of12_tue_fri,main,21,55,468,0.117521
2of12_tue_fri,main,22,45,468,0.096154
2of12_tue_fri,main,23,55,468,0.117521
2of12_tue_fri,main,24,40,468,0.08547
2of12_tue_fri,main,25,32,468,0.068376
2of12_tue_fri,main,26,45,468,0.096154
2of12_tue_fri,main,27,46,468,0.098291
2of12_tue_fri,main,28,42,468,0.089744
2of12_tue_fri,main,29,46,468,0.098291
2of12_tue_fri,main,30,55,468,0.117521
2of12_tue_fri,main,31,45,468,0.096154
2of12_tue_fri,main,32,40,468,0.08547
2of12_tue_fri,main,33,36,468,0.076923
2of12_tue_fri,main,34,56,468,0.119658
2of12_tue_fri,main,35,55,468,0.117521
2of12_tue_fri,main,36,41,468,0.087607
2of12_tue_fri,main,37,56,468,0.119658
2of12_tue_fri,main,38,39,468,0.083333
2of12_tue_fri,main,39,51,468,0.108974
2of12_tue_fri,main,40,41,468,0.087607
2of12_tue_fri,main,41,52,468,0.111111
2of12_tue_fri,main,42,43,468,0.09188
2of12_tue_fri,main,43,43,468,0.09188
2of12_tue_fri,main,44,39,468,0.083333
2of12_tue_fri,main,45,55,468,0.117521
2of12_tue_fri,main,46,45,468,0.096154
2of12_tue_fri,main,47,47,468,0.100427
2of12_tue_fri,main,48,42,468,0.089744
2of12_tue_fri,main,49,43,468,0.09188
2of12_tue_fri,main,50,44,468,0.094017
2of12_tue_fri,euro,1,80,468,0.17094
2of12_tue_fri,euro,2,70,468,0.149573
2of12_tue_fri,euro,3,92,468,0.196581
2of12_tue_fri,euro,4,72,468,0.153846
2of12_tue_fri,euro,5,95,468,0.202991
2of12_tue_fri,euro,6,78,468,0.166667
2of12_tue_fri,euro,7,80,468,0.17094
2of12_tue_fri,euro,8,70,468,0.149573
2of12_tue_fri,euro,9,74,468,0.15812
2of12_tue_fri,euro,10,76,468,0.162393
2of12_tue_fri,euro,11,65,468,0.138889
2of12_tue_fri,euro,12,84,468,0.179487
2of8_friday,main,1,12,133,0.090226
2of8_friday,main,2,9,133,0.067669
2of8_friday,main,3,9,133,0.067669
2of8_friday,main,4,14,133,0.105263
2of8_friday,main,5,12,133,0.090226
2of8_friday,main,6,19,133,0.142857
2of8_friday,main,7,18,133,0.135338
2of8_friday,main,8,15,133,0.112782
2of8_friday,main,9,19,133,0.142857
2of8_friday,main,10,20,133,0.150376
2of8_friday,main,11,13,133,0.097744
2of8_friday,main,12,14,133,0.105263
2of8_friday,main,13,14,133,0.105263
2of8_friday,main,14,15,133,0.112782
2of8_friday,main,15,13,133,0.097744
2of8_friday,main,16,12,133,0.090226
2of8_friday,main,17,15,133,0.112782
