draw_id,draw_date,prize_class,match_code,description_en,short_label,winners,payout_eur,total_paid_eur
1,2012-03-23,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
1,2012-03-23,2,5+1,Match 5 + 1 Euro number,5 + 1,0,0.0,0.0
1,2012-03-23,3,5+0,Match 5 + 0 Euro numbers,5 + 0,2,42755.0,85510.0
1,2012-03-23,4,4+2,Match 4 + 2 Euro numbers,4 + 2,12,6577.7,78932.4
1,2012-03-23,5,4+1,Match 4 + 1 Euro number,4 + 1,245,255.0,62475.0
1,2012-03-23,6,4+0,Match 4 + 0 Euro numbers,4 + 0,302,130.6,39441.2
1,2012-03-23,7,3+2,Match 3 + 2 Euro numbers,3 + 2,763,73.2,55851.6
1,2012-03-23,8,3+1,Match 3 + 1 Euro number,3 + 1,11848,22.7,268949.6
1,2012-03-23,9,2+2,Match 2 + 2 Euro numbers,2 + 2,11675,19.4,226495.0
1,2012-03-23,10,3+0,Match 3 + 0 Euro numbers,3 + 0,15319,15.4,235912.6
1,2012-03-23,11,1+2,Match 1 + 2 Euro numbers,1 + 2,64513,12.2,787058.6
1,2012-03-23,12,2+1,Match 2 + 1 Euro number,2 + 1,178977,8.4,1503406.8
2,2012-03-30,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
2,2012-03-30,2,5+1,Match 5 + 1 Euro number,5 + 1,9,69118.2,622063.8
2,2012-03-30,3,5+0,Match 5 + 0 Euro numbers,5 + 0,3,25408.8,76226.4
2,2012-03-30,4,4+2,Match 4 + 2 Euro numbers,4 + 2,46,1529.6,70361.6
2,2012-03-30,5,4+1,Match 4 + 1 Euro number,4 + 1,667,83.5,55694.5
2,2012-03-30,6,4+0,Match 4 + 0 Euro numbers,4 + 0,903,38.9,35126.7
2,2012-03-30,7,3+2,Match 3 + 2 Euro numbers,3 + 2,1514,32.9,49810.6
2,2012-03-30,8,3+1,Match 3 + 1 Euro number,3 + 1,19123,12.5,239037.5
2,2012-03-30,9,2+2,Match 2 + 2 Euro numbers,2 + 2,16957,11.9,201788.3
2,2012-03-30,10,3+0,Match 3 + 0 Euro numbers,3 + 0,26050,9.1,237055.0
2,2012-03-30,11,1+2,Match 1 + 2 Euro numbers,1 + 2,74366,9.1,676730.6
2,2012-03-30,12,2+1,Match 2 + 1 Euro number,2 + 1,198640,6.7,1330888.0
3,2012-04-06,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
3,2012-04-06,2,5+1,Match 5 + 1 Euro number,5 + 1,1,312639.2,312639.2
3,2012-04-06,3,5+0,Match 5 + 0 Euro numbers,5 + 0,1,81286.2,81286.2
3,2012-04-06,4,4+2,Match 4 + 2 Euro numbers,4 + 2,12,6252.7,75032.4
3,2012-04-06,5,4+1,Match 4 + 1 Euro number,4 + 1,185,321.0,59385.0
3,2012-04-06,6,4+0,Match 4 + 0 Euro numbers,4 + 0,248,151.2,37497.6
3,2012-04-06,7,3+2,Match 3 + 2 Euro numbers,3 + 2,852,62.3,53079.6
3,2012-04-06,8,3+1,Match 3 + 1 Euro number,3 + 1,10782,23.7,255533.4
3,2012-04-06,9,2+2,Match 2 + 2 Euro numbers,2 + 2,14301,15.8,225955.8
3,2012-04-06,10,3+0,Match 3 + 0 Euro numbers,3 + 0,13437,15.8,212304.6
3,2012-04-06,11,1+2,Match 1 + 2 Euro numbers,1 + 2,77156,9.7,748413.2
3,2012-04-06,12,2+1,Match 2 + 1 Euro number,2 + 1,181709,7.8,1417330.2
4,2012-04-13,1,5+2,Match 5 + 2 Euro numbers,5 + 2,0,0.0,0.0
