year,draws,jackpots_won,avg_stake_eur,total_stake_eur,avg_advertised_jackpot_eur,max_advertised_jackpot_eur
2012,41,3,12686181.56097561,520133444.0,15463414.634146342,26000000.0
2013,52,8,17188660.884615384,893810366.0,18192307.692307692,45000000.0
2014,52,8,22487432.230769232,1169346476.0,23192307.692307692,60000000.0
2015,52,7,30244533.576923076,1572715746.0,27807692.307692308,90000000.0
2016,53,9,36856296.30188679,1953383704.0,36622641.50943396,90000000.0
2017,52,11,35277212.84615385,1834415068.0,28230769.230769232,90000000.0
2018,52,10,53461562.57692308,2780001254.0,47846153.84615385,90000000.0
2019,52,10,47939881.384615384,2492873832.0,37192307.692307696,90000000.0
2020,52,11,53431685.76923077,2778447660.0,40711538.461538464,90000000.0
2021,53,17,52798482.943396226,2798319596.0,34245283.018867925,90000000.0
2022,92,14,38571002.67391305,3548532246.0,42934782.60869565,120000000.0
2023,104,16,37594226.57692308,3909799564.0,40846153.84615385,120000000.0
2024,105,13,47696326.60952381,5008114294.0,52666666.666666664,120000000.0
2025,104,16,45189797.634615384,4699738954.0,45019230.76923077,120000000.0
2026,74,13,41741297.64864865,3088856026.0,39000000.0,120000000.0
